CV (%),Value,agg_level_desc,asd_code,asd_desc,begin_code,class_desc,commodity_desc,congr_district_code,country_code,country_name,county_ansi,county_code,county_name,domain_desc,domaincat_desc,end_code,freq_desc,group_desc,load_time,location_desc,prodn_practice_desc,reference_period_desc,region_desc,sector_desc,short_desc,source_desc,state_alpha,state_ansi,state_fips_code,state_name,statisticcat_desc,unit_desc,util_practice_desc,watershed_code,watershed_desc,week_ending,year,zip_5
"","510,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,KENTUCKY,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,KY,21,21,KENTUCKY,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","345,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,MARYLAND,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,MD,24,24,MARYLAND,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","610,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,MICHIGAN,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,MI,26,26,MICHIGAN,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","95,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,MISSISSIPPI,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,MS,28,28,MISSISSIPPI,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","640,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,MISSOURI,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,MO,29,29,MISSOURI,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","1,950,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,MONTANA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,MT,30,30,MONTANA,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","920,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,NEBRASKA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,NE,31,31,NEBRASKA,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","23,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,NEW JERSEY,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,NJ,34,34,NEW JERSEY,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","370,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,NEW MEXICO,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,NM,35,35,NEW MEXICO,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","155,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,NEW YORK,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,NY,36,36,NEW YORK,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","450,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,NORTH CAROLINA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,NC,37,37,NORTH CAROLINA,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","90,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,NORTH DAKOTA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,ND,38,38,NORTH DAKOTA,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","580,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,OHIO,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,OH,39,39,OHIO,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","4,400,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,OKLAHOMA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,OK,40,40,OKLAHOMA,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","720,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,OREGON,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,OR,41,41,OREGON,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","270,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,PENNSYLVANIA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,PA,42,42,PENNSYLVANIA,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","125,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,SOUTH CAROLINA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,SC,45,45,SOUTH CAROLINA,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","800,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,SOUTH DAKOTA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,SD,46,46,SOUTH DAKOTA,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","400,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,TENNESSEE,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,TN,47,47,TENNESSEE,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","5,500,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,TEXAS,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,TX,48,48,TEXAS,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","110,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,UTAH,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,UT,49,49,UTAH,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","205,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,VIRGINIA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,VA,51,51,VIRGINIA,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","1,750,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,WASHINGTON,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,WA,53,53,WASHINGTON,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","290,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,WISCONSIN,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,WI,55,55,WISCONSIN,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","115,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,WYOMING,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,WY,56,56,WYOMING,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
